tv_spend,search_spend,social_spend,price,promo,season,revenue
1181.18,244.26,319.68,19.98,0,C,2680.41
211.66,265.55,53.07,22.72,1,D,2375.17
133.43,244.33,147.98,21.26,1,B,3147.18
766.63,797.47,381.08,22.46,1,B,3246.47
810.08,900.42,74.87,25.94,0,B,2047.51
1157.38,257.48,309.5,17.09,0,B,3036.38
974.15,261.22,218.21,25.04,1,A,2764.08
832.09,582.88,123.86,21.26,1,A,3060.07
373.55,960.49,115.69,18.75,1,D,3078.76
793.94,1085.57,95.32,17.67,1,C,3526.88
829.75,249.13,234.27,20.53,0,B,2322.67
361.63,296.03,254.19,23.3,1,D,2790.02
2168.83,470.75,169.05,20.68,1,A,3248.84
942.51,485.5,90.19,24.78,0,A,2315.48
279.38,344.97,303.47,17.37,1,C,3298.05
1161.31,214.42,407.29,20.97,0,C,2596.14
1298.16,381.29,341.62,17.87,0,C,2619.54
903.35,1084.87,758.99,21.91,1,D,3126.35
547.81,268.3,195.33,23.22,0,A,2569.3
348.27,452.35,533.48,19.95,0,A,3085.57
627.64,1515.72,133.91,14.49,0,C,3688.48
858.81,265.58,116.86,21.5,0,B,2396.04
673.4,600.0,244.72,22.09,0,C,2598.94
1734.21,1112.43,609.9,22.01,0,D,2444.07
1044.77,568.36,179.48,24.09,1,C,2745.05
314.77,763.68,53.03,18.32,0,C,2465.13
252.48,650.28,402.22,22.7,0,D,2296.77
948.14,540.43,211.48,23.98,0,C,2135.45
557.8,882.79,276.64,16.55,1,A,3830.85
1107.52,588.36,121.97,21.8,0,B,2736.35
942.12,347.38,243.09,19.74,1,C,2899.67
629.76,430.18,61.26,20.8,1,D,2657.04
318.02,496.06,692.88,21.87,1,B,2894.34
150.48,294.79,451.83,19.78,0,D,2424.94
783.45,442.85,235.31,19.31,1,B,3398.74
208.1,402.43,394.92,21.09,0,B,2599.67
306.48,587.24,134.19,18.28,1,C,2587.67
749.24,1289.79,438.85,18.29,1,A,3497.16
697.18,459.88,173.47,22.7,0,C,2173.23
233.49,975.03,164.12,18.13,0,D,2523.81
1396.93,574.25,101.06,22.67,0,D,2060.97
1372.34,441.56,300.87,22.16,1,B,2917.06
969.57,283.27,227.99,16.69,0,B,3505.01
968.74,443.72,544.47,19.31,0,A,3156.2
969.57,426.3,91.07,23.99,0,C,2111.42
1290.62,232.36,301.81,18.55,1,D,3195.7
1062.79,259.86,480.51,19.84,1,B,3047.23
341.92,498.72,257.4,22.16,1,A,2860.35
551.7,969.22,170.94,22.96,1,D,2363.64
2718.61,372.84,252.77,20.37,0,B,2439.21
92.59,118.4,516.91,19.51,0,D,2539.01
451.45,49.36,516.77,24.56,1,A,2707.57
1401.93,177.17,205.19,25.35,0,A,2295.56
361.31,609.4,511.03,23.45,0,D,2144.2
1082.79,139.63,220.27,21.21,0,C,2340.54
690.48,669.84,392.02,18.98,0,D,2919.0
383.62,588.88,326.13,18.92,0,B,2677.56
72.4,364.31,165.71,22.31,1,C,2875.55
767.66,233.9,104.25,22.05,0,B,2325.45
335.44,329.51,488.68,24.5,0,D,1907.24
609.15,490.91,577.45,22.63,0,C,2111.58
962.92,143.5,296.93,17.24,1,B,3317.04
1221.12,911.23,220.06,23.63,0,D,2471.02
450.25,488.04,80.97,18.5,1,D,3204.25
383.0,523.97,480.59,20.04,1,C,3249.76
204.52,586.28,273.73,21.63,0,D,2545.26
1261.85,858.8,184.18,25.99,1,A,2374.11
2472.69,444.42,399.37,28.77,1,B,2056.45
1354.59,609.63,67.86,22.52,1,B,2678.84
1558.24,236.84,96.76,20.54,1,D,3140.95
363.93,1088.22,130.24,22.34,0,D,2128.35
923.12,424.94,319.26,23.22,0,A,2798.65
1152.03,235.95,254.75,20.2,0,C,2887.55
265.26,283.32,345.01,25.49,0,D,2339.4
1914.86,73.03,459.64,21.58,1,D,2635.65
167.29,282.02,353.35,22.24,0,D,2477.34
1722.26,35.8,702.18,22.66,1,D,3093.89
166.11,637.45,458.95,22.05,1,B,2756.75
277.42,513.94,204.84,23.1,1,D,2207.35
934.9,185.8,147.2,19.46,1,B,2744.25
703.37,377.49,209.48,19.6,0,D,2822.36
486.83,389.05,361.61,18.25,0,C,2516.8
1866.86,156.56,159.92,22.1,0,A,2628.7
209.99,334.34,368.27,22.95,0,C,2443.35
591.32,397.17,340.8,22.14,0,D,2408.36
1018.96,328.11,102.97,25.19,0,D,2084.14
822.55,235.78,453.39,20.99,1,D,2847.13
394.04,180.26,289.77,22.67,0,C,2642.94
406.28,320.16,680.73,18.27,0,D,2622.27
1208.68,257.4,220.83,20.03,1,C,2864.64
1247.48,562.23,177.88,22.74,0,B,2355.66
838.28,890.67,91.85,23.12,0,A,2826.47
323.67,689.86,90.58,20.27,1,A,3445.13
417.21,406.01,418.72,20.82,1,C,3024.17
655.93,242.48,637.79,17.21,1,B,3716.6
729.11,678.52,207.31,20.11,0,C,2481.46
990.97,583.66,197.45,23.23,1,B,3130.61
567.61,853.53,235.68,22.44,1,D,3009.65
1190.2,444.73,473.59,22.25,0,B,2748.59
1181.18,1054.46,103.76,21.12,1,B,3451.74
1593.58,444.82,265.4,21.02,1,B,2668.83
677.57,241.61,424.94,19.35,0,A,2923.8
848.47,275.33,316.61,22.75,0,B,2324.32
601.69,545.58,8.84,22.05,1,D,2826.18
327.12,256.89,354.53,22.23,1,D,2396.61
2436.04,1050.13,318.7,19.68,0,D,2943.05
1461.37,517.4,533.12,15.62,1,B,4003.12
1164.74,400.16,605.95,23.74,0,C,2460.92
660.36,422.67,516.14,19.8,0,C,2826.12
302.38,325.7,236.6,18.84,0,D,2518.11
1307.64,93.91,50.63,22.73,1,A,2711.74
593.57,275.48,196.38,20.02,1,C,3271.66
903.45,973.34,231.22,23.65,0,B,2622.85
415.88,452.54,632.68,22.54,0,C,2425.96
801.34,738.42,122.99,22.71,0,D,2238.44
437.65,751.3,69.8,17.59,1,A,3132.26
451.81,379.89,160.73,24.03,1,C,2286.03
793.82,589.62,128.57,21.65,1,C,3262.2
163.63,103.69,63.49,20.08,1,D,2546.5
171.99,926.6,210.65,21.36,1,A,3182.01
360.23,881.84,237.79,16.56,0,A,3645.75
562.41,536.08,59.94,22.02,0,D,2100.47
1214.88,463.22,177.03,18.43,0,B,3071.35
587.44,383.27,121.93,17.62,1,C,3499.95
657.15,790.54,243.39,17.19,1,B,3504.27
528.44,632.28,260.8,23.78,0,C,2922.2
847.59,301.64,121.95,19.43,1,C,2707.4
324.23,162.2,450.78,24.83,0,B,2437.68
612.07,137.71,227.51,19.66,0,D,2581.98
896.37,785.5,126.77,16.73,1,D,3525.52
789.21,377.7,56.2,18.21,1,C,3319.54
673.19,530.54,270.71,24.09,1,D,2287.69
679.4,410.71,318.19,20.61,0,C,2705.67
958.32,139.27,153.77,19.63,0,D,2221.31
2511.28,105.87,248.94,21.4,1,C,2987.06
343.73,287.21,605.93,22.25,0,D,2408.42
2557.34,304.73,405.56,23.79,0,A,2701.19
330.32,304.59,24.01,24.62,1,B,2753.45
61.41,310.84,125.57,20.1,0,A,2988.74
430.36,1239.58,203.16,17.68,1,B,3503.88
859.18,731.62,236.84,19.97,1,B,2975.47
2180.64,456.75,252.8,21.65,0,C,2414.31
302.03,371.33,304.55,18.59,0,B,3237.27
954.32,380.22,208.22,18.61,1,A,3759.54
190.9,618.1,227.1,21.86,1,A,2999.48
2130.16,369.0,419.42,20.88,1,D,2871.51
1480.03,686.65,274.45,21.08,1,A,3001.46
452.55,489.19,83.94,19.1,1,D,3277.49
1638.68,1246.25,242.27,20.42,1,B,3328.87
609.25,354.17,203.58,18.69,0,A,3545.56
1531.93,763.46,35.44,23.23,0,B,2288.55
669.38,174.26,251.24,23.59,0,A,2425.84
691.22,246.98,94.23,16.38,0,A,3424.7
460.22,1148.7,423.5,18.68,0,D,3001.63
1042.8,668.93,301.59,17.26,0,B,3150.02
730.74,536.63,79.76,19.37,1,A,3160.4
969.17,1436.25,411.02,20.79,0,C,2939.99
146.82,374.93,538.64,17.38,0,B,3284.6
1568.05,762.36,185.45,18.7,0,B,2839.04
1831.32,796.62,202.69,18.49,0,B,3374.2
728.2,1002.61,384.96,21.52,0,D,2770.99
2397.48,158.3,513.12,21.17,0,C,2633.93
2046.02,373.25,47.04,19.2,0,B,2952.22
1058.56,483.75,88.52,21.44,1,A,3231.25
1652.6,992.83,163.17,19.63,1,A,3210.59
1376.21,522.93,177.2,20.32,1,D,2921.27
108.45,797.67,377.68,25.18,1,A,2201.35
537.0,146.78,514.82,24.35,0,B,2465.22
1110.09,316.35,539.59,17.75,1,A,3217.67
1910.9,879.84,45.84,23.07,1,B,3152.13
177.78,345.92,116.15,23.03,0,A,2497.05
117.2,394.14,140.23,18.13,1,C,3165.16
638.39,983.38,115.76,23.05,0,D,2168.83
67.55,205.88,300.97,24.84,1,D,2222.51
621.7,244.02,326.03,18.19,1,C,3532.75
874.46,133.99,225.05,18.71,0,C,2295.18
289.57,1006.88,209.82,23.54,1,D,2822.97
634.82,723.4,168.65,21.68,1,C,2924.89
1291.54,712.24,184.19,22.38,1,B,2620.97
428.62,310.11,601.62,21.85,0,A,2511.52
335.33,125.53,358.8,21.98,1,D,3005.12
612.91,96.31,173.61,17.68,0,C,2736.9
262.23,883.75,206.86,23.62,0,B,2166.45
2282.96,559.3,305.71,23.92,0,D,2465.78
685.04,627.62,79.74,20.43,1,C,3059.21
366.68,469.35,248.26,20.89,1,D,2605.57
783.38,222.4,345.74,17.17,1,C,3394.27
610.33,320.26,316.56,22.29,1,D,2414.08
558.94,182.33,118.08,22.43,0,B,2727.44
428.53,164.59,136.85,20.84,0,B,2902.26
411.33,687.42,30.97,23.81,0,A,2635.31
150.41,104.34,370.36,20.16,0,D,2619.15
1650.94,183.31,765.15,22.41,0,A,3093.04
1010.92,333.46,104.55,18.45,0,D,2799.37
840.66,418.59,457.33,20.94,0,C,2369.67
602.77,132.57,722.91,20.56,0,C,2735.09
284.96,518.73,156.04,21.56,0,A,3235.36
347.4,452.39,207.07,20.08,0,D,2380.71
168.91,874.58,268.23,20.67,1,A,3142.06
385.42,423.31,309.76,23.07,1,B,2841.79
249.61,552.39,278.4,19.91,1,A,3273.73
1972.54,232.01,165.73,16.98,0,A,3123.78
1233.45,239.41,342.14,25.37,0,C,2324.96
707.42,144.55,168.7,24.45,1,A,3205.65
313.48,233.71,291.69,17.77,0,D,2898.11
261.68,316.96,219.24,22.72,0,C,2166.28
573.13,822.8,40.92,19.74,0,A,2687.24
1268.43,207.9,501.13,21.66,0,B,2685.2
173.86,1279.17,139.85,21.74,0,A,3063.23
1001.69,583.17,533.35,20.41,0,A,3075.49
383.96,510.23,445.58,19.04,1,A,3400.58
445.43,401.72,262.63,19.27,0,C,2672.48
692.04,352.33,320.76,18.71,0,D,2536.14
323.05,260.15,347.31,18.92,1,B,3408.31
550.73,128.01,193.18,20.83,0,A,3023.83
299.25,213.47,200.1,19.21,0,D,2331.92
410.98,1005.44,336.09,22.71,1,D,3006.19
1137.78,561.01,220.95,24.72,0,C,2314.42
719.29,1000.11,166.15,19.55,0,B,3243.03
1134.83,255.29,119.68,21.6,0,C,2220.17
379.69,178.19,297.58,22.25,0,D,2011.3
1006.87,399.1,136.16,22.18,0,D,2330.48
129.92,219.5,397.23,21.19,1,D,2848.12
691.81,455.28,419.42,22.86,0,C,2792.58
1053.8,105.95,319.09,22.21,0,B,2683.65
124.11,64.36,365.15,17.91,0,A,3095.84
383.53,497.74,319.73,23.17,0,C,2120.94
691.44,1022.19,382.52,23.22,1,D,2880.49
1333.02,511.89,371.82,19.09,0,C,2660.04
410.93,557.42,286.7,21.09,0,D,2860.41
979.39,410.49,449.25,22.71,0,A,2607.89
1722.55,436.62,198.31,20.48,0,A,3295.59
1011.27,122.55,122.72,23.68,0,B,2488.75
567.22,225.78,117.58,26.91,1,D,2024.99
877.28,817.74,177.21,19.04,0,B,2871.64
400.88,312.03,34.88,17.55,0,B,3000.54
712.39,807.8,260.82,21.76,0,A,2902.66
589.46,428.77,350.4,22.8,1,C,2709.92
856.64,443.13,415.56,20.42,0,C,2562.58
475.79,313.7,50.29,24.63,1,B,2494.31
891.81,609.31,120.78,17.65,1,A,3593.52
472.05,702.36,389.37,22.73,1,D,2161.49
1225.28,216.62,193.7,19.49,0,C,2872.19
512.08,132.93,345.16,25.3,0,B,1930.54
70.89,77.75,76.06,25.98,1,C,1954.2
269.84,540.67,529.33,19.08,1,C,2776.89
676.22,502.28,70.64,19.63,1,D,2570.84
1961.17,1493.6,255.51,23.15,0,A,2435.19
1193.24,412.09,260.16,20.03,0,D,2480.98
52.67,364.38,152.68,20.89,0,A,3251.87
157.53,465.22,311.53,21.06,1,C,2767.58
1448.89,481.59,317.51,16.2,0,B,3354.54
1049.73,345.46,294.69,20.97,0,D,2602.58
2661.07,222.08,150.49,19.28,1,A,3404.83
456.48,397.51,128.32,19.77,0,C,2715.9
317.06,387.59,163.38,24.61,1,A,2434.23
704.31,383.41,114.41,17.86,0,A,3537.51
449.18,649.27,462.65,23.03,0,A,3038.72
1358.8,392.75,174.43,20.3,0,C,2330.25
436.46,135.46,250.42,20.3,1,B,2812.06
536.79,249.77,388.33,22.98,0,B,2386.48
278.21,342.53,109.79,21.85,0,B,2353.64
1138.96,405.2,67.87,22.43,1,A,3093.02
294.85,547.85,114.74,23.42,0,C,2143.69
903.76,407.33,269.86,20.17,0,A,3438.18
2181.35,65.83,257.26,19.47,0,B,3132.67
105.41,149.27,294.31,18.29,0,B,3012.71
1776.06,571.53,207.5,18.94,1,C,3424.06
821.94,336.14,14.88,28.37,0,A,2185.45
238.0,430.73,202.7,24.11,0,D,1987.03
724.77,307.33,422.48,17.62,0,D,2728.0
1116.07,249.01,493.93,17.69,1,B,3423.38
336.11,315.22,238.85,22.2,0,C,2621.97
940.97,434.11,257.93,22.37,0,A,2732.6
1874.22,390.81,340.88,22.37,0,A,2378.12
435.99,699.56,485.03,20.36,0,B,2640.79
275.09,114.04,224.09,20.69,0,B,2661.14
603.8,128.38,337.73,21.82,0,A,2699.08
695.86,333.43,145.32,21.21,1,A,3545.27
1406.37,551.77,77.55,15.45,0,B,3089.35
588.36,627.7,157.6,20.43,1,A,3349.58
469.63,256.33,556.49,18.87,1,D,3375.09
268.7,27.52,342.28,21.44,0,B,3071.95
125.24,262.44,84.36,28.46,0,A,1810.08
197.77,503.29,352.89,21.92,0,B,2698.28
196.59,385.96,90.22,20.22,1,C,3086.51
541.4,564.5,291.55,23.3,0,B,2486.47
152.73,800.7,106.27,22.21,0,B,2545.19
639.02,349.49,80.11,22.05,0,C,2551.16
2149.82,283.95,615.67,22.52,1,D,2106.05
1434.05,199.4,174.33,26.14,1,A,2673.89
537.23,127.74,338.16,18.17,0,C,2928.49
3074.06,99.67,230.78,22.18,1,B,2819.24
697.72,238.23,96.59,18.68,0,A,3547.26
774.28,735.5,188.57,22.39,0,C,2324.38
594.86,598.6,97.33,18.7,1,A,3348.21
649.9,274.48,898.06,19.96,0,A,3429.8
423.58,1286.3,378.83,20.26,0,C,2593.5
543.48,250.52,227.7,23.44,0,A,2411.95
1783.96,846.56,326.21,23.3,1,D,2578.7
1539.38,967.27,362.95,17.89,1,C,3552.91
66.88,525.01,363.58,21.14,1,D,2822.9
171.98,236.59,353.42,19.23,1,B,2891.94
340.27,300.99,335.71,17.85,0,A,3091.7
1275.98,441.01,241.12,20.46,0,B,2656.87
1562.47,130.89,586.03,20.23,0,B,2780.93
1113.09,185.06,252.11,27.07,0,A,2201.03
237.08,173.18,232.45,22.08,0,C,2511.55
430.83,550.17,253.64,17.56,1,A,3184.03
952.66,796.06,266.42,19.59,0,B,3160.0
550.1,613.19,50.7,23.55,0,B,2455.27
491.24,717.91,113.77,26.22,0,C,2299.42
497.1,221.89,207.49,17.04,0,A,3391.54
1462.43,310.6,48.17,16.3,1,B,3802.74
1022.24,327.24,227.44,25.68,0,D,2044.04
519.25,523.69,263.99,21.97,0,B,2892.06
